i	j	affiliation
PROVINI OLIVIER	2017_ST21	LAM, IEP BORDEAUX
PRUDHOMME DOROTHEE	2013_ST11	IEP BORDEAUX
PRUDOR ANELIE	2015_ST52	LISST CENTRE DANTHROPOLOGIE SOCIALE
PSADO THOMAS	2017_ST49	NA
PUCCIO DEBORAH	2015_ST53	DEN CNRS/GSPM, INSTITUT MARCEL MAUSS, PARIS
PUDAL BERNARD	2009_ST7	CSU, U. PARIS 10
PUDAL BERNARD	2015_ST13	U. PARIS 10
PUDAL BERNARD	2017_ST3	CRESPPA CSU, U. PARIS 10
PUDAL ROMAIN	2017_ST2	CURAPP ESS, CNRS
PUENTES GERMAN	2009_ST43	NA
PUIG EMMANUEL	2009_ST21	LCP, PARIS
PUISSANT EMMANUELLE	2013_ST9	ADEES RHONE ALPES ET CREG UPMF, GRENOBLE
PULLANO TERESA	2015_STPOPACT	EUROPAINSTITUT, U. BASEL (SUISSE)
PUNDZIUTE EMILIJA	2017_ST69	GALLOIS CERI, SCIENCES PO PARIS
PUPPATTI FREDERIC	2015_ST61	CERAPS, U. LILLE 2
PURENNE ANAIK	2017_ST50	U. LYON, ENTPE ET CNRS
PURENNE ANAIK	2017_ST51	ENTPE
QUERE OLIVIER	2011_ST25	IEP LYON TRIANGLE
QUERE OLIVIER	2013_ST2	IEP LYON TRIANGLE
QUERE OLIVIER	2013_ST4	TRIANGLE CNRS / IEP LYON
QUERE OLIVIER	2015_ST28	TRIANGLE ENS LYON
QUERE OLIVIER	2017_ST22	NA
QUERE OLIVIER	2017_ST35	ENS LYON TRIANGLE
QUESNAY ARTHUR	2013_ST53	IFPO, ERBIL / CESSP, U. PARIS 1
QUET MATHIEU	2011_ST37	U. PARIS 10
RABIER MARION	2009_ST33	CMH, ETT ENS/EHESS PARIS
RABIER MARION	2011_ST22	CMH CNRS EHESS ENS
RABIER MARION	2017_ST12	UHA / SAGE
RABINOVITCH GERARD	2009_ST51	CENTRE DE RECHERCHES, SENS, ETHIQUE, SOCIETE, CERSES
RACHIK HASSAN	2009_ST49	U. HASSAN II AIN CHOK, CASABLANCA
RAFIN NICOLAS	2017_ST8	U. NANTES / CENS
RAGARU NADEGE	2013_ST43	CERI, SCIENCES PO PARIS
RAGARU NADEGE	2015_ST52	CERI, SCIENCES PO PARIS
RAGARU NADEGE	2017_ST64	CERI, SCIENCES PO PARIS
RAGAZZI FRANCESCO	2013_ST52	U. LEIDEN
RAGOUET PASCAL	2017_ST1	U. BORDEAUX, CED
RAIMBAULT NICOLAS	2013_ST19	U. PARIS EST IFFSTAR
RAIMBAULT NICOLAS	2017_ST11	LISER, LUXEMBOURG
RAISER CHRISTOPH	2009_ST11	HUMBOLDT UNIVERSITAT (ALLEMAGNE) BERLIN
RAISON DU CLEUZIOU YANN	2009_ST38	CRPS/ PARIS 1
RAISON DU CLEUZIOU YANN	2013_ST59	U. MONTESQUIEU BORDEAUX IV, CED, UMR CNRS 5116
RAJEEV GOWDA	2013_ST41	NA
RALAY AUDREY	2011_ST12	RANAIVO PACTE, IEP GRENOBLE
RAMAMBASON MARYSE	2013_ST39	SAGE GSPE, U. STRASBOURG
RAMANBASON MARYSE	2009_ST46	CERCEC, EHESS PARIS
RAMANBASON MARYSE	2011_ST28	VAUCHELLE GSPE/CERCEC
RAMBAUD ELSA	2015_ST12	CESSP/ PARIS I
RAMBAUD ELSA	2017_ST1	U. PARIS 1 CESSP
RAMBAUD ROMAIN	2015_ST21	U. PIERRE MENDES FRANCE, CRJ
RAMBAUD ROMAIN	2015_STRC20IPSA	UNIVERSITY PIERRE MENDES FRANCE, GRENOBLE
RAMBAUD ROMAIN	2017_ST34	ET JULIEN BONNIVARD U. GRENOBLE, CRJ
RAMEL FREDERIC	2011_ST3	U. PARIS SUD, INSTITUT DE RECHERCHE STRATEGIQUE DE LECOLE MILITAIRE
RAMEL FREDERIC	2013_ST51	CERI, SCIENCES PO PARIS
RAMEL FREDERIC	2015_ST55	CERI, SCIENCES PO PARIS
RAMEL FREDERIC	2015_ST61	NA
RAMEL FREDERIC	2017_ST73	CERI, SCIENCES PO PARIS
RAMIREZ PEREZ SIGFRIDO	2011_ST15	NA
RAMUZ RAPHAEL	2009_ST28	U. LAUSANNE (SUISSE)
RANDALL MAURY	2015_STRC20IPSA	RIDER UNIVERSITY
RANNOUX JULIE	2011_ST50	IEP AIX EN PROVENCE, CHERPA
RATELLE JEAN FRANCOIS	2009_ST31	U. OTTAWA (CANADA)
RATINAUD PIERRE	2015_ST7	U. TOULOUSE 2, LERASS
RAULY AMANDINE	2017_ST25	U. REIMS, REGARDS EA 6292
RAUSCH DAVE	2011_ST44	& MARY SCANLON RAUSCH WEST TEXAS A&M UNIVERSITY (USA)
RAVEL AGNES	2009_ST7	EHESS/CRH/CRHM
RAVINET PAULINE	2009_ST14	U. LIBRE BRUXELLES (BELGIQUE) / CSO, SCIENCES PO PARIS
RAVINET PAULINE	2011_ST24	CERAPS, U. LILLE 2
RAVINET PAULINE	2017_ST18	CERAPS, U. LILLE 2
RAYNAUD PHILIPPE	2009_ST52	U. PARIS 2 / IUF
RAYNER HERVE	2009_ST17	USTAT
RAYNER HERVE	2015_ST27	CRAPUL, U. LAUSANNE (SUISSE)
RAYNER HERVE	2017_ST1	NA
RAYOU PATRICK	2013_ST30	CIRCEFT ESCOL, U. PARIS 8
RAYROUX ANTOINE	2009_ST21	IEE, U. LIBRE BRUXELLES (BELGIQUE)
RAZAC OLIVIER	2013_ST55	NA
RAZANAKOTO PASCAL	2015_STGRAM	U. TOULOUSE I CAPITOLE
REA ANDREA	2009_ST34	PASCAL DELWIT ULB
REAUBOURG GAEL	2017_ST48	AGREGE DHISTOIRE
REBER BERNARD	2013_ST64	U. PARIS DESCARTES CNRS
REBER BERNARD	2015_ST24	CNRS SCIENCES PO PARIS FRANCE
REBMANN FREDERIC	2009_ST33	FNS, IEPI IHES, U. LAUSANNE (SUISSE)
REGONINI GLORIA	2013_ST7	U. MILAN
REGUER MANON	2015_ST17	PETIT SCIENCES PO CEE
REGUER MANON	2017_ST29	PETIT CEE, SCIENCES PO PARIS
REIGNER HELENE	2009_ST26	INSTITUT NATIONAL DE RECHERCHE SUR LES TRANSPORTS ET LEUR SECURITE INRETS
REIGNER HELENE	2011_ST14	INRETS
REIGNER HELENE	2013_ST19	IFFSTAR
REIGNER HELENE	2017_ST11	IUAR AIX MARSEILLE U. LIEU EA 889
REITER RENATE	2011_ST25	FERNUNIVERSITAT IN HAGEN, INSTITUT FUR POLITIKWISSENSCHAFT, LEHRGEBIET POLITIKFELDANALYSE
REITER RENATE	2017_ST20	FERNUNIVERSITAT HAGEN
RENAHY NICOLAS	2011_ST13	RENAHY NICOLAS INRA
RENARD AMELIE	2009_ST8	AMELIE LE RENARD CERI, SCIENCES PO PARIS
RENNO LUCIO	2015_STRC20IPSA	UNIVERSIDADE DE BRASILIA UNB
RENNO PIERRE	2009_ST26	U. PARIS 1
RENNO PIERRE	2009_ST36	CENTRE DE RECHERCHE POLITIQUE DE LA SORBONNE
RENNO PIERRE	2011_ST13	U. PARIS 1
RENNO PIERRE	2011_ST9	CESSP, U. PARIS 1
RENO FRED	2015_ST56	CAGI, U. DES ANTILLES
RENOU GILDAS	2009_ST50	NA
RENOU GILDAS	2011_ST49	CRAPE / U. RENNES 1
RENOU GILDAS	2015_ST26	U. STRASBOURG
RENOU GILDAS	2017_ST76	LABORATOIRE SAGE UMR CNRS N0 7363
RETIF SOPHIE	2015_ST16	IDHES / U. PARIS 10
RETIF SOPHIE	2017_ST51	UMR CRAPE ARENES
RETTIG ISABELLE	2009_ST35	IRIS, CNRS/EHESS PARIS
REUCHAMPS MIN	2009_ST13	U. LIEGE (BELGIQUE)
REUNGOAT EMMANUELLE	2009_ST17	U. PARIS 1
REUNGOAT EMMANUELLE	2013_ST27	U. PARIS 1 SORBONNE
REUNGOAT EMMANUELLE	2017_ST65	NA
REVAUD MARYLINE	2011_ST12	CRAPE, IEP RENNES
REVEL MARTINE	2009_ST122	CERAPS, U. LILLE 2
REVEL MARTINE	2011_ST19	CERAPS, U. LILLE 2
REVERDY THOMAS	2015_ST35	GRENOBLE INP / PACTE
REVERDY THOMAS	2015_ST40	PACTE INPG
REVET SANDRINE	2013_ST20	CERI, SCIENCES PO PARIS
REVET SANDRINE	2017_ST64	SCIENCES PO, CERI CNRS
REVIL HELENA	2017_ST6	IEP GRENOBLE
REVILLARD ANNE	2013_ST37	SCIENCES PO PARIS LIEPP/OSC
REVILLARD ANNE	2015_ST17	SCIENCES PO OSC LIEPP, SCIENCES PO PARIS
REY FREDERIC	2009_ST42	CEPS/INSTEAD LUXEMBOURG
REY MATTHIEU	2015_ST47	COLLEGE DE FRANCE ET LAURA RUIZ DE ELVIRA, PHILLIPS UNIVERSITY MARBURG
REYES VICENTE	2015_STRC20IPSA	U. NEW ENGLAND
RHEE YANGHO	2015_ST1	ET EUNJU CHI KOREA UNIVERSITY, SEOUL
RIAUX GILLES	2013_ST36	IRSEM
RIBEIRO RAQUEL	2015_ST52	NA
RIBEMONT THOMAS	2011_ST9	U. PARIS 13, CERAL
RIBEMONT THOMAS	2017_ST70	CERAL U. PARIS 13 SORBONNE PARIS CITE / CEPEL, U. MONTPELLIER 1 / ICEE, U. PARIS 3
RICHARD ESTELLE	2009_ST35	IHTP, MONTPELLIER I
RICHARD GUILLAUME	2011_ST42	U. PARIS 10
RICHARD HELENE	2009_ST10	U. LYON IEP LYON
RICHARD JEAN LUC	2017_ST48	CRAPE ARENES, U. RENNES 1
RICHARD YANN	2015_ST55	U. PARIS 1, CNRS, UMR PRODIG
RICHEZ NADINE	2013_ST9	BATTESTI AIX MARSEILLE U. LEST CNRS
RICORDEAU GWENOLA	2013_ST32	U. LILLE 1
RINDZEVICIUTE EGLE	2013_ST3	FUTUREPOL, CEE, SCIENCES PO PARIS
RING MAGNUS	2009_ST27	U. LUND, SUEDE
RINNE JENNI	2013_ST31	U. HELSINKI
RIO NICOLAS	2013_ST13	IEP LYON, TRIANGLE, ACADIE
RIOS ALEXANDRE	2017_ST68	BORDES IMM LIER
RIOUFREYT THIBAUT	2009_ST52	TRIANGLE, U. LYON 2
RIOUFREYT THIBAUT	2013_ST11	VALERIE SALA PALA LABORATOIRE TRIANGLE UMR CNRS 5206
RIOUFREYT THIBAUT	2013_ST57	LABORATOIRE TRIANGLE UMR5206
RIOUFREYT THIBAUT	2015_ST23	SCIENCES PO PARIS, CDSP
RIOUFREYT THIBAUT	2015_ST7	SCIENCES PO, CDSP
RIOUFREYT THIBAUT	2017_ST3	ARNAULT SKORNICKI)
RIPOLL FABRICE	2011_ST35	LABURBA U. PARIS EST CRETEIL
RISSE DAVID	2009_ST15	U. LAVAL (CANADA)
RISSE DAVID	2011_ST22	U. LAVAL (CANADA) / QUEBEC
RITTELMEYER YANN SVEN	2009_ST19	RITTELMEYER YANN SVEN FRS FNRS, INSTITUT DETUDES EUROPEENNES CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
RIUTORT PHILIPPE	2013_ST38	GAP ET LCP, U. PARIS 10
RIVAT EMMANUEL	2015_ST18	CED, IEP BORDEAUX
RIVERA VELEZ LUIS	2017_ST23	CERI, SCIENCES PO PARIS
RIVERA VELEZ LUIS	2017_ST56	CERI, SCIENCES PO PARIS
RIVIERE JEAN	2011_ST34	U. ROUEN, UMR IDEES 6266 CNRS
RIVIERE JEAN	2011_ST35	IDEES U. ROUEN
RIVIERE JEAN	2015_ST1	ESPACES ET SOCIETES CNRS/INSTITUT DE GEOGRAPHIE ET DAMENAGEMENT DE LU. NANTES
RIVIERE JEAN	2015_ST4	NA
ROA BASTOS FRANCISCO	2011_ST41	U. VERSAILLES SAINT QUENTIN
ROA BASTOS FRANCISCO	2015_STRC20IPSA	UNIVERSITY PARIS 1
ROBELET MAGALI	2013_ST15	U. LYON 2
ROBERT ANDRE	2013_ST30	LYON 2, LABORATOIRE EDUCATION, CULTURES, POLITIQUES
ROBERT BENEDICTE	2009_ST29	RECTORAT DE CRETEIL OSC
ROBERT CECILE	2009_ST18	IEP LYON, TRIANGLE
ROBERT CECILE	2013_ST42	TRIANGLE, IEP LYON
ROBERT CECILE	2015_ST19	LABORATOIRE SCIENCES POLYON, TRIANGLE
ROBERT CECILE	2017_ST24	IEP LYON
ROBERT CECILE	2017_ST59	IEP LYON / TRIANGLE
ROBERT JEREMY	2017_ST23	IFEA, LIMA
ROBIN JEAN YVES	2015_ST20	ROBIN JEAN YVES U. CATHOLIQUE DE LOUEST, EA CRF, CNAM PARIS
ROBIN MARIE FLORIANE	2013_ST37	CERAPS, U. LILLE 2
ROCA ESCODA MARTA	2015_ST16	NA
ROCA ESCODA MARTA	2017_ST45	NA
ROCA ESCODA MARTA	2017_ST49	NA
ROCA MARTA	2009_ST15	U. LIBRE BRUXELLES (BELGIQUE)
ROCA MARTA	2009_ST16	I ESCODA U. GENEVE, U. LIBRE BRUXELLES (BELGIQUE)
ROCHA CUNHA SILVERIO	2011_ST47	SILVERIO DA ROCHA CUNHA U. DEVORA
ROCHA DANIELLA	2009_ST37	CEMS EHESS, U. PARIS 13
ROCHA DANIELLA	2011_ST35	IRIS U. BRASILIA
ROCHA DANIELLA	2011_ST38	NA
ROCHA LUKIC MELINA	2013_ST8	FUNDAC~AO GETULIO VARGAS / FGV RIO
ROCHAS AMANDINE	2009_ST39	IEP GRENOBLE
ROCHAS AMANDINE	2009_ST43	IEP GRENOBLE
ROCHAT YANNICK	2017_ST38	U. LAUSANNE (SUISSE)
RODARY ESTIENNE	2015_ST56	IRD
RODET DIANE	2017_ST14	U. LYON2
RODRIGUEZ BLANCO MARICEL	2015_ST11	EHESS/ CESPRA
RODRIGUEZ DARIO	2015_ST33	CERI, SCIENCES PO PARIS
RODRIGUEZ TANIA	2013_ST18	U. PARIS DIDEROT, LABORATOIRE SEDET, U. DU COSTA RICA
RODRIGUEZ TANIA	2013_ST40	NA
RODRIGUEZ TERUEL JUAN	2011_ST30	UNIVERSITAT DE VALENCIA
ROGER ANTOINE	2009_ST37	SPIRIT, IEP BORDEAUX
ROGER ANTOINE	2009_ST9	IEP BORDEAUX SPIRIT
ROGER ANTOINE	2011_ST45	CED, IEP BORDEAUX
ROGER ANTOINE	2013_ST20	CED/IEP BORDEAUX
ROGER ANTOINE	2017_ST18	IEP BORDEAUX
ROGER ANTOINE	2017_ST5	CED/IEP BORDEAUX
ROGER AURELIE	2011_ST30	CRPLC, U. DES ANTILLES ET DE LA GUYANE
ROGER AURELIE	2013_ST37	U. DES ANTILLES ET DE LA GUYANE CRPLC
ROGER AURELIE	2015_ST27	U. DES ANTILLES, CRPLC
ROLLAND STELLIO	2013_ST12	EHESS PARIS
ROLLET GUILLAUME	2013_ST24	U. LYON 2
ROMAIN MATHIEU	2013_ST24	ROMAIN MATHIEU IRENEE, U. LORRAINE
ROMANO GIULIA	2017_ST71	CERI, SCIENCES PO PARIS
RONDOT CAMILLE	2015_ST55	CELSA PARIS SORBONNE, GRIPIC EA1498
ROSENAU PAULINE	2009_ST23	PAULINE VAILLANCOURT ROSENAU U. TEXAS, HOUSTON
ROSENER ANDREAS	2013_ST6	UNIVERSITAT OLDENBURG
ROSHCHIN EVGENY	2015_ST60	U. JYVASKYLA, FINLANDE
ROSS JACQUELINE	2011_ST14	ROSS JACQUELINE U. LILLINOIS
ROSSI FEDERICA	2015_ST52	LIER
ROSSI FREDERICA	2013_ST3	CNRS/ISP
ROSSIGNOL STEPHANE	2009_ST4	U. VERSAILLES SAINT QUENTIN
ROSSINI CAROLINA	2013_ST24	IEPI, U. LAUSANNE (SUISSE)
ROTH ANDRE NOEL	2009_ST25	U. NACIONAL DE COLOMBIA UNAL, BOGOTA (COLOMBIE)
ROUEFF OLIVIER	2009_ST6	PRINTEMPS
ROUGER AUDREY	2015_ST14	CHERPA, IEP AIX EN PROVENCE
ROUGER AUDREY	2015_ST16	CHERPA, AIX EN PROVENCE
ROUMEAS ELISE	2013_ST64	SCIENCES PO PARIS
ROUQAN OLIVIER	2009_ST48	U. PARIS 2
ROUSSEAU EMMANUEL	2017_ST38	X U. GENEVE (SUISSE)
ROUSSEAU FREDERIC	2009_ST47	HISTOIRE, MONTPELLIER 3
ROUSSEAU MAX	2009_ST26	CERAPSE, TEMIS, U. SAINT ETIENNE
ROUSSEAU MAX	2013_ST19	CIRAD MONTPELLIER
ROUX ADRIEN	2015_STRC20IPSA	LABORATOIRE DE DROIT PRIVE ET DE SCIENCES CRIMINELLES EA 4690
ROUX CHRISTOPHE	2017_ST33	U. NICE, ERMES
ROUX FELICIE	2017_ST29	U. PARIS EST, AU LABURBA ET AU LABEX FUTURS URBAINS GT JUSTICE, ESPACE, DISCRIMINATION, INEGALITES
ROUX GUILLAUME	2009_ST36	FNSP IEP GRENOBLE PACTE
ROUX GUILLAUME	2009_ST5	IEP GRENOBLE
ROUX GUILLAUME	2013_ST55	FNSP, PACTE PO, GRENOBLE
ROUX GUILLAUME	2017_ST50	IEP GRENOBLE, U. GRENOBLE ALPES, CNRS
ROUX SEBASTIEN	2013_ST5	CNRS CSE
ROUXEL PIERRE	2017_ST30	U. RENNES 1 CRAPE
ROUYER VERONIQUE	2017_ST46	LABORATOIRE DE PSYCHOLOGIE, U. BORDEAUX
ROVNY ALLISON	2015_ST1	ROVNY_ALLISON_BLANK%20AND%20NOT%20BLUE%20OUTSIDERS%20AT%20THE%20BALLOT%20BOXPDF CONSULTE LE 5 MAI 2014
ROVNY JAN	2015_ST1	2014
ROWELL JAY	2009_ST18	U. STRASBOURG, GSPE
ROWELL JAY	2011_ST45	GSPE-PRISME
ROWELL JAY	2015_ST19	NA
ROZA STEPHANIE	2013_ST66	U. PARIS 1, CHSPM
ROZENBERG OLIVIER	2009_ST11	FNSP, CEE
ROZENBERG OLIVIER	2011_ST44	FNSP CEE SCIENCES PO PARIS
ROZENBERG OLIVIER	2015_ST8	NA
ROZENBERG OLIVIER	2017_ST38	CENTRES DETUDES EUROPEENNES CEE
ROZIER SABINE	2009_ST33	U. PICARDIE / CURAPP
ROZIER SABINE	2011_ST35	UPJV CURAPP
ROZIER SABINE	2013_ST8	IRISSO, U. PARIS 9 CNRS
ROZIER SABINE	2017_ST12	NA
ROZIER SABINE	2017_ST59	U. PARIS 9 / PSL IRISSO
RUAUD JULIETTE	2015_ST3	NA
RUAUD JULIETTE	2017_ST31	LAM, IEP BORDEAUX
RUAUD JULIETTE	2017_ST39	IEP BORDEAUX LAM
RUAULT LUCILE	2013_ST33	CERAPS, U. LILLE 2
RUAULT LUCILE	2013_ST5	CERAPS, U. LILLE 2
RUAULT LUCILE	2017_ST45	CERAPS, U. LILLE 2
RUBBERS BENJAMIN	2015_ST49	INSTITUT DE SOCIOLOGIE, U. LIEGE (BELGIQUE)
RUCK ISABEL	2015_ST61	CERI, SCIENCES PO PARIS
RUELLAN DENIS	2017_ST49	U. PARIS SORBONNE PARIS IV, ECOLE DES HAUTES ETUDES EN SCIENCES DE LINFORMATION ET DE LA COMMUNICATION CELSA
RUI SANDRINE	2017_ST50	CED, U. BORDEAUX
RUIZ DE ELVIRA LAURA	2015_ST47	PHILLIPS UNIVERSITY MARBURG
RUIZ DE ELVIRA LAURA	2017_ST62	IREMAM, AIX EN PROVENCE
RUMPALA YANNICK	2015_ST26	U. NICE
RUSCIANO FRANK	2013_ST41	NA
RUSCIANO FRANK	2015_STRC20IPSA	NA
RUSSEIL SARAH	2009_ST18	TRIANGLE
RUSSEIL SARAH	2011_ST26	RIVES
RUSSO LUANA	2013_ST28	CERAPS, U. LILLE 2
RUWET COLINE	2013_ST45	ICHEC BRUXELLES MANAGEMENT SCHOOL, UCL
RUYSSCHAERT DENIS	2015_ST56	CERTOP, U. TOULOUSE JEAN JAURES
RUZHELNYK OLGA	2017_ST60	U. PARIS 10
RYFMAN PHILIPPE	2011_ST7	U. PARIS 1
SA VILAS BOAS MARIE HELENE	2011_ST38	ET DANIELLA ROCHA
SAADA JULIE	2011_ST5	U. ARTOIS
SAADA JULIE	2011_ST8	U. ARTOIS
SAAF ABDALLAH	2009_ST49	U. MOHAMMED V RABAT (MAROC)
SABITOV RICHAT	2015_ST27	U. SOUTH EAST EUROPE LUMINA
SACRISTE GUILLAUME	2011_ST1	U. PARIS 1 / CESSP-CRPS
SAEIDNIA SAHAR	2017_ST67	SAHAR AURORE SAEIDNIA EHESS IRIS
SAEIDNIA SAHAR AURORE	2013_ST42	NA
SAEIDNIA SAHAR AURORE	2015_ST12	NA
SAGER ALEX	2011_ST21	PORTLAND STATE UNIVERSITY
SAIGET MARIE	2013_ST46	CERI, SCIENCES PO PARIS
SAIGET MARIE	2015_ST54	CERI, SCIENCES PO PARIS
SAIGET MARIE	2017_ST67	CERI, SCIENCES PO PARIS
SAIGET MARIE	2017_ST73	CERI, SCIENCES PO PARIS
SAINOVIC ARDIJAN	2015_ST51	IEP BORDEAUX/CED
SAINSAULIEU IVAN	2011_ST35	ET TAPAS GROUP U. FRIBOURG
SAINT ARNAUD	2013_ST20	MARTIN PRINTEMPS/USVQ
SAINT ARNAUD	2015_ST57	MARTIN U. VERSAILLES SAINT QUENTIN
SAINT DENIS	2009_ST20	MARTIN U. MONTREAL (CANADA)
SAINT JEAN	2015_ST6	JEAN DE SAINT SERNIN U. PARIS 2, CECP
SAINTY JESSICA	2009_ST5	IEP GRENOBLE
SAINTY JESSICA	2011_ST34	PACTE, IEP GRENOBLE
SAINTY JESSICA	2011_ST39	PACTE, IEP GRENOBLE
SAINTY JESSICA	2015_ST1	PACTE / IEP GRENOBLE
SAITTA EUGENIE	2009_ST6	U. POITIERS, CRAPE
SAITTA EUGENIE	2017_ST45	UNIV RENNES 1, CRAPE ARENES
SALA PALA VALERIE	2013_ST11	LABORATOIRE TRIANGLE UMR CNRS 5206
SALARIS COLINE	2015_ST8	CED, IEP BORDEAUX
SALOMONE ROSEMARY	2013_ST14	ST JOHNS UNIVERSITY
SAMUEL BORIS	2017_ST6	ECOLE DE GOUVERNANCE ET DECONOMIE RABAT (MAROC)
SAN JUAN ERIC	2015_ST4	LIA
SANCTON ANDREW	2015_ST34	UNIVERSITY WESTERN ONTARIO
SANDERS HILARY	2013_ST14	U. PARIS DIDEROT PARIS 7
SANDRI GIULIA	2009_ST39	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
SANDRI GIULIA	2015_ST21	ESPOL, U. CATHOLIQUE LILLE
SANSEIGNE FRANCIS	2009_ST50	SANSEIGNE FRANCIS GREPH LEPS, U. LYON
SAPORITI MICHELE	2017_ST32	GSRL, EPHE PARIS / U. BICOCCA MILAN (ITALIE)
SARANGI ASHA	2013_ST14	JAWAHARLAL NEHRU U. (INDE)
SAUGER NICOLAS	2009_ST17	CEE, SCIENCES PO PARIS
SAUGER NICOLAS	2009_ST4	CEVIPOF, SCIENCES PO PARIS
SAUGER NICOLAS	2009_ST42	CEE, SCIENCES PO PARIS
SAUGER NICOLAS	2009_ST48	CEE, SCIENCES PO PARIS
SAUGER NICOLAS	2009_ST5	CEE, SCIENCES PO PARIS
SAUGER NICOLAS	2013_ST28	CEE, SCIENCES PO PARIS
SAUGER NICOLAS	2013_ST6	CEE, SCIENCES PO PARIS
SAUGER NICOLAS	2015_ST1	CEE DE SCIENCES PO/FNSP
SAULIERE JEROME	2013_ST14	ECOLE POLYTECHNIQUE
SAURUGGER SABINE	2009_ST1	PACTE, IEP GRENOBLE
SAURUGGER SABINE	2009_ST20	PACTE, IEP GRENOBLE
SAURUGGER SABINE	2011_ST46	PACTE, IEP GRENOBLE / IUF
SAURUGGER SABINE	2013_ST7	PACTE, IEP GRENOBLE / IUF
SAURUGGER SABINE	2017_ST25	PACTE, IEP GRENOBLE
SAUVETRE PIERRE	2009_ST37	SCIENCES PO PARIS
SAUVETRE PIERRE	2013_ST55	SCIENCES PO PARIS
SAUVETRE PIERRE	2013_ST60	SCIENCES PO PARIS
SAVANE LAMINE	2015_ST19	CEPEL, U MONTPELLIER 1
SAVANE LAMINE	2015_ST34	CEPEL, U MONTPELLIER 1
SAVARESE ERIC	2011_ST34	CERTAP, U. PERPIGNAN / CEPEL, U MONTPELLIER 1
SAVARESE ERIC	2011_ST50	U. PERPIGNAN
SAVARESE ERIC	2015_ST4	CEPEL, U MONTPELLIER 1
SAVARESE ERIC	2017_ST33	CEPEL, U MONTPELLIER 1
SAWICKI FREDERIC	2009_ST7	NA
SAWICKI FREDERIC	2011_ST31	NA
SAWICKI FREDERIC	2013_ST25	CESSP, U. PARIS 1
SAWICKI FREDERIC	2013_ST28	CESSP, U. PARIS 1
SAWICKI FREDERIC	2013_ST30	CESSP, U. PARIS 1
SAWICKI FREDERIC	2013_ST37	CESSP, U. PARIS 1
SAWICKI FREDERIC	2015_ST14	CESSP-CRPS, PARIS 1
SAWICKI FREDERIC	2017_ST37	CESSP, U. PARIS 1
SAWICKI FREDERIC	2017_ST39	CESSP, U. PARIS 1
SBARAGLIA FANNY	2015_ST42	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
SCALA MICHELE	2017_ST30	IREMAM, U. AIX MARSEILLE
SCANLON RAUSCH MARY	2011_ST44	WEST TEXAS A&M U. (USA)
SCAPIN THOMAS	2017_ST24	IEP LYON
SCHADEE HANS	2011_ST33	U. BICOCCA MILAN (ITALIE)
SCHEIDHAUER CHRISTOPHE	2009_ST39	SCIENCES PO PARIS
SCHEMEIL YVES	2009_ST32	PACTE, IEP GRENOBLE
SCHEMEIL YVES	2011_ST2	PACTE, IEP GRENOBLE
SCHEMEIL YVES	2013_ST49	PACTE, IEP GRENOBLE
SCHEMEIL YVES	2015_ST37	PACTE, IEP GRENOBLE
SCHEMEIL YVES	2015_ST61	PACTE, IEP GRENOBLE
SCHEMEIL YVES	2015_ST8	PACTE, IEP GRENOBLE
SCHEMEIL YVES	2015_ST9	PACTE, IEP GRENOBLE
SCHERER PAULINE	2017_ST51	LERIS
SCHERRER AMANDINE	2013_ST52	OPEN UNIVERSITY (ROYAUME-UNI)
SCHIFFINO NATHALIE	2009_ST22	FUCAM (BELGIQUE)
SCHIFFINO NATHALIE	2009_ST41	FUCAM (BELGIQUE)
SCHLEGEL VIANNEY	2017_ST30	CLERSE, U. LILLE 1
SCHLIMMER SINA	2017_ST21	LAM, IEP BORDEAUX
SCHMIDT CHRISTIAN	2017_ST19	WELLENBURG U. POSTDAM (ALLEMAGNE)
SCHMIDT NATHALIE	2013_ST63	SCIENCES PO / CEVIPOF, SCIENCES PO PARIS
SCHMIDT VIVIEN	2009_ST28	BOSTON U. (USA)
SCHMITT OLIVIER	2015_STGRAM	CERIUM
SCHNAPPER QUENTIN	2017_ST47	CESAER ET ENS
SCHNEIDER STEFFEN	2009_ST1	U. BREME
SCHOTTE MANUEL	2013_ST42	CERAPS, U. LILLE 2
SCHUFT LAURA	2011_ST53	U. NICE UNITE DE RECHERCHES MIGRATIONS ET SOCIETE URMIS / IRD UMR 205
SCHULTZ EMILIEN	2017_ST16	PARIS SORBONNE, GEMASS
SCHUTZ GABRIELLE	2013_ST5	U. VERSAILLES SAINT QUENTIN
SCHWAK JULIETTE	2015_ST61	CITY U. HONG KONG
SCIARINI PASCAL	2009_ST5	ET ANKE TRESCH DEPARTEMENT DE SCIENCE POLITIQUE, U. GENEVE (SUISSE)
SEGALINI CELINE	2011_ST15	NA
SEGARD PAULINE	2013_ST47	U. BORDEAUX 4 / U. QUEBEC MONTREAL (CANADA)
SEGARD PAULINE	2015_STGRAM	U. BORDEAUX 4 / U. QUEBEC MONTREAL (CANADA)
SEGAS SEBASTIEN	2013_ST19	U. RENNES 2 CIAPHS
SEGAS SEBASTIEN	2013_ST9	U. RENNES 2 CIAPHS
